,Id,Label,timeset,index,componentnumber,modularity_class,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,dg,closeness,between,
0,0,hymn,,0,0,UNKNOWN,2.60E-05,8.00E-06,16,17,33,0.226973,0.234773,2781.225858,0.0018338,0.260818524,0.0018338,UNKNOWN
1,1,spick-and-span,,1,0,UNKNOWN,7.60E-05,0.00017,13,15,28,0.239537,0.248398,3076.703631,0.001544252,0.272543178,0.001544252,UNKNOWN
2,2,stimulating,,2,0,"Joy, Interest, Optimism",3.90E-05,0,8,0,8,0,0,0,0.000579095,0.268435839,0.000579095,"Joy, Interest, Optimism"
3,3,inimical,,3,0,"Disgust, Boredom, Contempt",7.00E-05,7.50E-05,15,21,36,0.255904,0.265636,1538.705259,0.002026831,0.274717378,0.002026831,"Disgust, Boredom, Contempt"
4,4,buck,,4,0,UNKNOWN,0.001678,0.001638,23,61,84,0.30632,0.323884,93245.51314,0.006080494,0.326002579,0.006080494,UNKNOWN
5,5,decency,,5,0,"Trust, Acceptance, Serenity",3.30E-05,3.30E-05,11,13,24,0.259591,0.27026,4575.619552,0.001254705,0.268171055,0.001254705,"Trust, Acceptance, Serenity"
6,6,scratchy,,6,0,"Vigilance, Anticipation, Interest",2.30E-05,0,6,0,6,0,0,0,0.000482579,0.261154774,0.000482579,"Vigilance, Anticipation, Interest"
7,7,cotton-picking,,7,0,UNKNOWN,0.002172,0.002322,40,49,89,0.297683,0.314002,3614.903897,0.004729273,0.317838473,0.004729273,UNKNOWN
8,8,blockhead,,8,0,"Disgust, Boredom, Contempt",0.010123,0.010064,80,79,159,0.291644,0.309288,879.741477,0.007914294,0.308794288,0.007914294,"Disgust, Boredom, Contempt"
9,9,abrupt,,9,0,UNKNOWN,8.10E-05,8.40E-05,6,10,16,0.264487,0.274945,1558.000003,0.001061674,0.294230511,0.001061674,UNKNOWN
10,10,discordant,,10,0,UNKNOWN,1.70E-05,0,14,0,14,0,0,0,0.001351221,0.247005899,0.001351221,UNKNOWN
11,11,goad,,11,0,UNKNOWN,7.00E-05,0,17,0,17,0,0,0,0.001447737,0.287292039,0.001447737,UNKNOWN
12,12,buffeting,,12,0,"Joy, Interest, Optimism",0.000901,0,24,0,24,0,0,0,0.0018338,0.280871669,0.0018338,"Joy, Interest, Optimism"
13,13,consummation,,13,0,UNKNOWN,8.20E-05,9.80E-05,16,20,36,0.27009,0.283065,4430.309916,0.001930316,0.292241286,0.001930316,UNKNOWN
14,14,confabulation,,14,0,UNKNOWN,5.50E-05,5.00E-05,22,41,63,0.268886,0.282582,3919.857979,0.003571084,0.283975308,0.003571084,UNKNOWN
15,15,thrashing,,15,0,UNKNOWN,0.000762,0.001561,39,116,155,0.305973,0.326262,29857.72014,0.008975968,0.33041295,0.008975968,UNKNOWN
16,16,distempering,,16,0,UNKNOWN,2.30E-05,0,11,0,11,0,0,0,0.001061674,0.247520766,0.001061674,UNKNOWN
17,17,dupery,,17,0,UNKNOWN,6.60E-05,3.40E-05,23,24,47,0.241115,0.250896,367.954224,0.002412895,0.264850455,0.002412895,UNKNOWN
18,18,dreamy,,18,0,"Admiration, Trust, Acceptance",0.001906,0,15,0,15,0,0,0,0.001447737,0.290458325,0.001447737,"Admiration, Trust, Acceptance"
19,19,instantly,,19,0,UNKNOWN,0.000169,0.00043,16,24,40,0.275809,0.288186,1960.458342,0.002026831,0.305995549,0.002026831,UNKNOWN
20,20,howl,,20,0,"Sadness, Disgust, Remorse",0.000323,0.001261,46,34,80,0.25392,0.265935,9646.952543,0.005115336,0.299467265,0.005115336,"Sadness, Disgust, Remorse"
21,21,about,,21,0,UNKNOWN,0.000711,0.001001,55,51,106,0.282171,0.297,87425.57837,0.005694431,0.348197564,0.005694431,UNKNOWN
22,22,characteristic,,22,0,"Joy, Interest, Optimism",0.002676,0,20,0,20,0,0,0,0.001930316,0.310147755,0.001930316,"Joy, Interest, Optimism"
23,23,spread,,23,0,UNKNOWN,0.002244,0.002176,54,69,123,0.31558,0.334674,137359.742,0.007335199,0.344643105,0.007335199,UNKNOWN
24,24,infantile,,24,0,UNKNOWN,6.00E-06,0,7,0,7,0,0,0,0.00067561,0.235916552,0.00067561,UNKNOWN
25,25,ditch,,25,0,UNKNOWN,7.50E-05,0,11,0,11,0,0,0,0.000965158,0.277156854,0.000965158,UNKNOWN
26,26,suggestion,,26,0,UNKNOWN,0.000155,0,11,0,11,0,0,0,0.000965158,0.282995171,0.000965158,UNKNOWN
27,27,labyrinthine,,27,0,UNKNOWN,7.00E-06,8.00E-06,13,15,28,0.240849,0.24951,0,0.001447737,0.252019167,0.001447737,UNKNOWN
28,28,proceeds,,28,0,UNKNOWN,3.70E-05,0,6,0,6,0,0,0,0.000386063,0.268254615,0.000386063,UNKNOWN
29,29,matter,,29,0,UNKNOWN,0.001261,0.001246,17,23,40,0.300695,0.315933,29759.88842,0.002219863,0.309840798,0.002219863,UNKNOWN
30,30,encapsulate,,30,0,UNKNOWN,1.00E-05,3.90E-05,9,10,19,0.230349,0.238737,1175.332077,0.001061674,0.260417477,0.001061674,UNKNOWN
31,31,tidbit,,31,0,UNKNOWN,3.50E-05,0,6,0,6,0,0,0,0.000579095,0.268547484,0.000579095,UNKNOWN
32,32,hysteria,,32,0,UNKNOWN,1.10E-05,0,6,0,6,0,0,0,0.000579095,0.254759857,0.000579095,UNKNOWN
33,33,sweat,,33,0,"Vigilance, Anticipation, Interest",0.00021,0.000185,69,91,160,0.295409,0.31469,133210.2977,0.007817778,0.317691864,0.007817778,"Vigilance, Anticipation, Interest"
34,34,outburst,,34,0,"Anticipation, Anger, Agressiveness",7.30E-05,9.90E-05,26,33,59,0.276695,0.290279,4313.681836,0.00250941,0.293020442,0.00250941,"Anticipation, Anger, Agressiveness"
35,35,prosecution,,35,0,UNKNOWN,6.00E-06,6.00E-06,9,11,20,0.242581,0.251765,0,0.001061674,0.256633091,0.001061674,UNKNOWN
36,36,queasy,,36,0,"Fear, Apprehension, Terror",0.000232,0,23,0,23,0,0,0,0.002219863,0.286043185,0.002219863,"Fear, Apprehension, Terror"
37,37,genealogy,,37,0,UNKNOWN,0.000159,0.000175,12,14,26,0.272278,0.284982,0,0.001351221,0.288020902,0.001351221,UNKNOWN
38,38,powerfully,,38,0,"Vigilance, Anticipation, Agressiveness",0.000321,0,24,0,24,0,0,0,0.002316379,0.272119629,0.002316379,"Vigilance, Anticipation, Agressiveness"
39,39,sinking,,39,0,UNKNOWN,0.000106,0,9,0,9,0,0,0,0.000579095,0.280749544,0.000579095,UNKNOWN
40,40,logical,,40,0,"Vigilant, Anticipation, Interest",0.000288,0,13,0,13,0,0,0,0.000965158,0.290850837,0.000965158,"Vigilant, Anticipation, Interest"
41,41,death,,41,0,UNKNOWN,0.000363,0,28,0,28,0,0,0,0.002316379,0.299475946,0.002316379,UNKNOWN
42,42,experience,,42,0,UNKNOWN,0.000144,0.000107,14,18,32,0.283396,0.296647,6340.798369,0.0018338,0.296145097,0.0018338,UNKNOWN
43,43,ordinary,,43,0,UNKNOWN,0.000112,0,10,0,10,0,0,0,0.000772126,0.273510053,0.000772126,UNKNOWN
44,44,flinty,,44,0,UNKNOWN,0.000234,0.000239,20,27,47,0.275839,0.290897,4825.821418,0.002316379,0.295087738,0.002316379,UNKNOWN
45,45,canty,,45,0,UNKNOWN,9.10E-05,0,9,0,9,0,0,0,0.000868642,0.248784417,0.000868642,UNKNOWN
46,46,reiterate,,46,0,UNKNOWN,4.00E-06,0,9,0,9,0,0,0,0.000868642,0.249571729,0.000868642,UNKNOWN
47,47,nauseous,,47,0,"Fear, Surprise, Awe",0.000853,0.00083,36,40,76,0.285178,0.301253,14227.05949,0.003860631,0.298688034,0.003860631,"Fear, Surprise, Awe"
48,48,wriggle,,48,0,UNKNOWN,8.20E-05,0,13,0,13,0,0,0,0.001254705,0.288012872,0.001254705,UNKNOWN
49,49,misty,,49,0,UNKNOWN,6.40E-05,5.70E-05,26,33,59,0.258329,0.270196,4205.809389,0.002895473,0.278104386,0.002895473,UNKNOWN
50,50,ardency,,50,0,UNKNOWN,9.00E-06,0,6,0,6,0,0,0,0.000579095,0.262969549,0.000579095,UNKNOWN
51,51,rapacious,,51,0,UNKNOWN,0.000166,0,6,0,6,0,0,0,0.000482579,0.254584074,0.000482579,UNKNOWN
52,52,branch,,52,0,"Anticipation, Anger, Agressiveness",4.10E-05,2.90E-05,12,17,29,0.256307,0.266987,28407.40924,0.0018338,0.28563984,0.0018338,"Anticipation, Anger, Agressiveness"
53,53,suffer,,53,0,"Anticipation, Vigilance, Interest",0.000108,0,23,0,23,0,0,0,0.001930316,0.298343009,0.001930316,"Anticipation, Vigilance, Interest"
54,54,vestiary,,54,0,UNKNOWN,0.000102,0.000147,23,25,48,0.257777,0.268679,6.681466,0.002605926,0.292680087,0.002605926,UNKNOWN
55,55,ripped,,55,0,"Joy, Ecstacy, Optimism",0.000527,0,20,0,20,0,0,0,0.001737284,0.308177124,0.001737284,"Joy, Ecstacy, Optimism"
56,56,undercover,,56,0,UNKNOWN,2.60E-05,0,11,0,11,0,0,0,0.000772126,0.258514669,0.000772126,UNKNOWN
